altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
2827	15	108	32	3974	201	210	145	5345	1
2640	8	30	0	1036	232	228	129	6141	1
2641	4	108	0	1181	227	234	141	6067	1
2785	26	67	23	3996	229	240	125	5456	1
2710	4	277	19	1906	223	232	144	6166	1
2720	8	404	28	1956	204	228	163	6034	1
2965	15	201	65	5669	230	209	110	3966	1
3195	9	595	43	5833	228	221	126	1230	1
2788	11	181	45	2871	232	218	117	6488	1
2988	18	162	43	5836	227	247	146	3852	1
2487	6	134	10	960	230	237	140	4327	1
2724	7	278	44	2143	219	224	141	5538	1
3083	9	272	-12	6686	221	221	134	2946	1
2652	10	0	0	1976	210	219	145	5102	1
2614	6	85	25	1714	204	235	170	4485	1
3106	8	300	-21	6337	219	247	164	2568	1
3090	17	404	53	6547	221	250	157	3032	1
2814	6	201	23	3181	210	230	158	6174	1
2914	3	283	43	4280	221	232	147	5749	1
2819	6	228	23	3198	212	230	156	6156	1
3182	16	284	17	4820	242	215	99	1455	1
2936	14	228	96	5723	240	218	105	4361	1
2615	14	366	28	1415	220	209	122	4205	1
3037	16	446	78	5814	196	253	190	2084	1
3024	9	470	-8	6499	203	226	163	3663	1
2847	7	120	10	3711	221	225	140	6471	1
2670	20	108	41	1956	187	198	144	4521	1
3050	6	543	16	6400	226	228	137	3384	1
3221	9	391	49	4441	212	222	147	1681	1
2794	8	90	0	3203	211	224	150	5660	1
2972	11	108	14	5516	225	247	154	2362	1
2778	8	85	13	3046	207	226	157	5382	1
3073	10	592	206	6311	208	221	150	3744	1
2837	8	30	3	3749	212	227	152	6123	1
3041	11	859	7	6078	209	251	176	3483	1
3064	12	702	197	6187	195	249	192	3664	1
3018	4	834	99	5946	215	244	166	3394	1
3027	14	684	108	5799	230	245	144	3212	1
2945	6	0	0	5370	230	235	139	2563	1
2900	9	247	33	4100	233	225	124	6335	1
3153	14	466	155	4725	214	209	128	2322	1
2877	24	30	17	6187	157	206	184	4468	1
2945	25	295	95	5863	152	212	197	4770	1
2782	7	127	25	3063	230	229	132	5029	1
2724	2	60	2	2461	221	240	155	4442	1
2711	10	67	7	2102	237	233	127	4146	1
2982	11	573	63	5635	198	249	189	3677	1
2991	10	438	124	5842	236	225	119	4202	1
2929	17	134	29	4612	239	206	92	6330	1
2922	16	95	22	4609	240	211	96	6291	1
2773	20	210	52	2584	230	197	94	4302	1
3211	12	569	36	4117	238	222	113	2780	1
2695	12	67	24	1366	200	218	156	3225	1
2956	6	446	58	4074	208	233	162	5483	1
2936	5	30	7	4854	217	228	148	6187	1
2965	6	371	68	4025	212	227	153	5405	1
2761	7	120	12	2296	211	227	154	3778	1
2605	26	258	65	524	241	230	100	2398	1
2922	10	150	26	5316	226	246	152	4699	1
2742	7	391	56	1455	214	226	149	2893	1
2771	8	60	18	2053	233	236	135	3403	1
2548	9	42	7	531	235	226	124	2183	1
2922	12	85	13	4811	240	222	110	4303	1
2972	10	726	76	6073	191	240	189	5782	1
2904	8	0	0	3705	200	244	182	4941	1
2783	24	60	26	1999	146	230	220	3237	1
2968	19	234	59	4528	223	195	99	4585	1
3018	13	752	122	5852	191	249	195	6520	1
2988	13	192	29	4933	240	231	119	5836	1
2940	4	218	27	3692	218	231	150	4512	1
3182	1	270	7	3716	219	236	154	4537	1
3106	11	309	-5	3874	220	216	130	4853	1
2998	11	228	49	4268	238	229	119	5161	1
3273	8	531	69	3355	233	235	134	4405	1
3008	7	808	110	5835	204	244	179	6078	1
3159	7	61	8	3449	229	240	144	4879	1
2696	10	108	10	1521	238	232	124	1406	1
3001	7	493	36	5415	213	226	150	5791	1
2998	4	384	33	5276	213	233	158	5733	1
3228	9	192	23	3144	232	240	139	4738	1
2962	1	162	17	4243	220	238	154	5613	1
3041	12	120	-7	3589	240	225	113	5416	1
3142	11	175	37	3168	240	230	118	5205	1
2792	7	283	6	2264	213	247	170	2003	1
3178	16	30	6	2861	234	206	98	5259	1
3031	14	247	7	3543	208	209	135	5760	1
2952	15	324	36	3861	243	218	100	5959	1
2991	6	95	9	4968	214	246	169	5028	1
2854	12	324	38	3310	232	217	115	3002	1
3031	15	630	40	5878	193	252	194	4971	1
2747	5	124	6	2310	222	231	145	1505	1
2929	16	268	23	5426	184	250	203	4977	1
2881	11	342	65	3603	223	217	127	3015	1
2694	10	150	21	1680	229	244	147	920	1
2691	11	30	2	1890	230	218	119	1159	1
2904	9	108	25	4243	223	246	156	3782	1
2634	15	30	-5	1654	242	233	117	999	1
3013	11	258	53	4929	211	218	142	3827	1
2922	11	218	7	3948	221	216	128	5659	1
3004	13	283	32	5329	205	215	146	3940	1
3011	13	162	36	5184	190	222	170	3880	1
2714	13	257	75	2073	215	251	168	1517	1
2597	22	85	29	1195	163	204	177	752	1
3024	12	210	49	5173	206	216	146	3805	1
3021	14	361	52	4940	224	209	115	3726	1
2595	7	30	1	1566	208	230	161	1168	1
2903	4	242	0	4773	213	233	158	4817	1
2955	7	524	40	3582	205	244	178	5682	1
2667	30	67	36	1731	186	162	97	1513	1
2998	15	603	98	5743	200	253	186	4011	1
2991	6	510	0	3283	210	228	156	5758	1
2932	12	420	32	5542	193	248	193	4020	1
2810	15	30	-6	3823	244	231	113	3191	1
2968	12	603	68	5707	198	249	189	3864	1
2752	17	120	30	2601	209	202	127	2471	1
3054	8	760	55	5715	203	246	181	3450	1
2916	5	309	16	5410	208	242	173	3892	1
2797	14	120	11	3488	223	208	116	2906	1
2825	10	384	75	2618	205	222	154	2679	1
3006	12	371	7	5043	239	235	124	2960	1
3021	9	680	115	5791	203	248	182	3212	1
2853	9	391	90	2911	196	236	180	2931	1
2954	8	285	42	4680	230	240	142	2743	1
3004	15	642	87	5400	239	238	124	2965	1
2654	11	295	100	570	234	240	135	1719	1
2863	12	350	14	2940	200	219	157	2809	1
2672	15	150	0	878	230	245	143	1892	1
2953	13	400	164	3724	230	213	114	2452	1
2883	4	391	34	2856	226	236	145	2710	1
3074	6	300	47	3466	214	227	150	5047	1
3083	21	360	14	3513	227	193	89	4910	1
2583	15	108	36	85	222	205	114	1001	1
2916	4	240	10	4977	219	230	148	3523	1
2966	7	319	28	4102	229	240	144	2190	1
2857	8	295	56	2852	223	245	156	2512	1
2959	12	255	17	4447	219	213	128	3978	1
2667	14	268	98	633	212	210	133	1973	1
2935	9	150	18	5162	236	230	124	2308	1
2722	12	85	22	1784	232	243	140	2646	1
3136	12	300	50	3453	239	224	113	4837	1
2675	14	335	29	779	224	210	116	1900	1
2965	9	85	11	4456	209	224	153	3643	1
2929	9	42	0	3830	235	230	126	1854	1
2650	12	127	0	780	188	231	183	1679	1
2711	8	335	3	912	220	222	136	2118	1
3005	16	404	86	4731	192	209	152	1841	1
2952	13	469	32	5337	184	237	195	2040	1
2727	17	90	18	1149	193	253	194	2362	1
3137	9	319	30	3564	203	226	161	4390	1
2606	11	247	21	285	222	215	127	1214	1
3109	15	134	19	3728	244	218	99	4145	1
2776	6	180	35	1612	221	227	142	2903	1
2704	19	85	12	2577	171	214	181	2208	1
2882	21	60	8	4261	217	250	156	1380	1
2991	11	384	15	5132	214	250	170	1548	1
3182	11	459	40	2947	216	215	133	4723	1
2803	19	134	35	3716	222	249	152	1369	1
3155	5	153	13	3164	229	235	140	4418	1
2827	16	424	146	2418	201	207	141	2208	1
2685	5	90	12	949	229	233	140	1894	1
2608	7	30	0	671	224	225	135	1608	1
3008	10	607	92	5604	193	239	186	1710	1
3010	5	365	34	5284	209	234	163	1337	1
2795	24	120	29	3931	238	187	67	1035	1
3041	17	361	7	4288	194	207	149	3000	1
2894	27	376	162	3355	148	192	177	1438	1
2728	13	270	88	1183	235	213	107	2124	1
3045	8	541	76	5437	202	229	166	1142	1
2757	11	360	44	1334	219	215	130	2274	1
2734	13	270	9	1230	190	222	170	2012	1
2639	3	212	20	240	223	234	146	1664	1
2976	13	382	72	3745	226	248	150	927	1
2943	13	182	39	5104	191	249	195	1471	1
3201	5	765	89	3319	207	237	169	3728	1
3208	6	684	96	3365	211	228	155	3636	1
2814	17	42	9	4618	245	229	106	201	1
2761	11	210	26	1733	227	216	120	2650	1
2887	6	492	51	2624	230	237	141	2395	1
2549	12	30	4	649	240	222	110	1114	1
2910	18	124	25	4297	198	202	138	451	1
3002	12	277	90	5258	239	223	113	484	1
2723	5	67	-4	1376	225	233	143	2043	1
2731	14	127	1	1128	188	221	172	1756	1
3044	12	0	0	3687	236	219	113	2773	1
2961	25	342	149	4695	143	214	207	283	1
2745	11	95	10	1518	198	222	162	1950	1
3080	11	67	4	3579	205	218	149	2821	1
2730	3	180	-2	1104	221	232	147	1410	1
2858	16	175	32	2430	245	225	104	2717	1
3083	13	339	23	3706	216	210	128	2613	1
3044	11	350	85	3985	235	221	116	2300	1
2788	13	240	25	1645	217	210	126	1834	1
2714	5	450	97	1114	210	233	161	691	1
3038	8	421	0	4901	207	227	157	342	1
2886	3	0	0	5095	211	236	164	1253	1
2802	12	150	15	2382	187	238	191	2534	1
2904	11	42	3	3423	238	236	127	1673	1
3079	12	313	39	4923	194	222	166	481	1
2989	12	85	0	4387	233	215	113	994	1
2822	17	90	29	2665	226	200	101	2763	1
2932	14	212	38	4669	236	213	106	1668	1
2939	11	234	49	3296	189	231	182	1803	1
2954	7	162	22	3777	231	229	132	1371	1
2997	4	190	34	4031	226	238	147	1224	1
2982	12	124	19	3988	241	231	119	1216	1
3008	13	127	13	3795	219	210	124	2483	1
2850	4	395	52	2022	222	231	144	1574	1
2970	10	163	30	3884	214	219	140	1200	1
3037	5	268	0	3552	225	230	141	2758	1
2976	22	201	57	5514	230	187	79	1358	1
3083	26	480	172	5457	145	239	228	968	1
2772	4	331	13	1825	221	231	146	836	1
3024	11	285	52	4412	217	217	134	871	1
2933	16	306	69	3229	238	211	100	2375	1
3070	9	90	18	4736	196	242	185	886	1
2758	3	182	7	1953	224	238	149	799	1
3068	9	319	-1	3326	224	220	131	3021	1
2660	12	201	-28	1266	238	222	113	543	1
2956	9	408	63	3450	237	230	125	2192	1
3109	19	616	131	4094	208	195	117	2482	1
3123	26	552	50	3438	167	185	148	3000	1
3143	14	558	52	3335	191	216	162	3126	1
3022	12	175	17	4549	225	214	121	534	1
2928	12	150	36	3443	239	224	113	2318	1
3103	22	424	115	4195	246	199	71	2512	1
3009	8	150	-9	4123	231	227	128	1205	1
2999	5	297	23	3876	222	228	141	1806	1
3004	7	258	20	3944	214	225	147	1712	1
3175	16	631	-14	3380	186	215	167	3154	1
3011	18	192	49	4425	248	217	91	2438	1
2859	23	150	49	2620	220	182	85	1775	1
2787	8	212	20	2233	210	225	152	1252	1
2886	14	351	42	3181	241	219	104	2652	1
3017	7	390	33	4057	220	224	140	1690	1
2894	26	134	60	2859	142	210	203	2095	1
3098	8	268	49	4948	226	245	151	153	1
3064	17	151	37	4263	243	210	91	2696	1
2893	15	192	57	2938	187	251	200	2140	1
3162	7	350	55	5394	200	238	177	480	1
3066	14	170	48	4867	198	213	151	454	1
2950	9	342	83	3645	235	233	128	2553	1
3050	2	404	29	4616	221	240	155	1184	1
2986	17	350	44	5761	179	248	207	1902	1
2846	18	190	44	2644	247	216	91	1911	1
3000	17	342	55	4200	234	207	101	1875	1
3050	8	30	2	4904	204	227	161	769	1
3009	16	433	47	5884	184	249	202	1795	1
2957	4	30	1	5287	214	232	156	2397	1
2894	2	268	44	2996	214	236	160	2377	1
2944	20	95	25	4034	250	218	86	2423	1
2850	7	339	44	2216	210	228	155	2053	1
3089	6	42	1	5219	214	228	151	1022	1
2949	18	108	21	4052	246	213	89	2402	1
2964	20	255	58	3617	240	199	80	2839	1
2759	11	151	9	1566	234	220	117	1986	1
3151	12	779	8	6239	191	247	194	1383	1
2828	27	60	3	1714	234	235	113	2402	1
3008	6	60	3	5540	203	238	175	2131	1
3164	13	484	69	5791	219	211	126	1262	1
3003	3	0	0	5432	216	243	164	2215	1
3017	2	60	7	5221	222	239	153	2438	1
2887	13	85	12	1880	202	216	150	2293	1
3096	14	212	40	5033	238	213	103	1915	1
2816	11	335	-7	1073	222	216	127	2488	1
3076	11	212	20	5665	198	247	187	2039	1
3100	13	255	40	5748	202	252	185	2014	1
3107	24	384	92	4585	227	180	73	3066	1
2771	16	150	-29	751	244	228	109	2227	1
2970	3	212	1	2463	223	234	147	1475	1
2987	12	182	28	2356	202	217	152	1320	1
2761	14	127	22	510	201	213	148	2313	1
3156	10	409	80	5828	207	250	179	2418	1
3099	13	201	41	4853	192	220	166	2904	1
2927	10	283	64	1703	238	229	120	1358	1
3072	6	0	0	5397	206	243	175	2742	1
3142	6	42	3	4864	209	231	160	2691	1
2848	22	120	50	1015	214	185	96	1806	1
3201	27	510	97	5934	140	238	231	2736	1
3090	10	175	11	3596	217	219	137	1423	1
2908	11	30	6	1907	239	231	121	1008	1
2817	17	451	129	458	229	202	100	2552	1
3147	7	391	38	4260	229	227	132	1967	1
3195	1	450	49	4660	220	237	153	2308	1
3051	4	95	3	2707	227	236	143	627	1
3127	3	0	0	4429	212	236	163	3517	1
3131	7	0	0	4442	199	239	179	3529	1
2979	13	67	2	2536	241	231	117	430	1
3149	14	323	53	5070	225	209	115	3313	1
3164	20	277	49	5742	171	249	213	3187	1
2908	7	234	20	1253	201	238	178	1748	1
2917	8	532	-9	797	228	225	129	2333	1
2988	13	256	38	2040	240	219	107	816	1
3133	5	228	0	3912	227	239	146	1337	1
3173	8	330	32	4820	235	232	129	2253	1
2830	26	379	164	400	221	175	73	1907	1
3017	10	361	47	2463	192	232	180	395	1
3225	24	247	71	4073	216	179	87	3378	1
3123	10	90	3	5600	206	249	180	2830	1
2988	15	90	23	1867	229	206	106	1325	1
2897	14	301	-29	569	232	211	109	1914	1
3036	1	268	35	2780	217	240	160	361	1
3010	13	134	33	1939	228	213	116	1347	1
3190	6	255	12	5495	230	232	136	2658	1
3001	15	60	8	2547	245	221	101	644	1
3003	10	85	8	1768	201	225	163	1616	1
3212	2	395	31	5772	223	239	153	2440	1
2832	14	180	-3	285	235	213	106	1560	1
2805	30	124	20	212	247	176	35	1470	1
2903	8	153	-7	684	233	233	131	1951	1
3016	5	310	14	1693	229	234	138	1794	1
3054	7	180	32	1994	211	228	154	1521	1
3218	7	323	11	4846	225	225	134	2202	1
3205	4	426	34	5992	211	242	170	2069	1
3015	13	30	6	3196	186	229	184	443	1
3061	11	450	39	2289	197	224	166	1205	1
3188	4	30	2	5172	212	233	159	1854	1
3037	10	170	21	3107	235	237	132	426	1
3044	8	256	52	2584	201	243	182	902	1
3020	5	30	2	1812	228	231	137	1693	1
3018	4	30	2	2991	210	234	163	495	1
2861	18	350	170	366	239	203	88	1493	1
3130	26	192	68	4064	242	182	54	631	1
3155	5	124	-2	4677	222	228	141	1380	1
3219	4	108	-1	4563	224	231	143	1745	1
3034	8	42	0	3124	215	224	145	395	1
3172	6	319	29	4321	205	235	169	849	1
3007	10	371	55	1221	219	218	134	2352	1
3224	14	85	15	4824	180	235	195	1320	1
3306	14	270	36	3749	206	210	139	1992	1
3271	10	150	16	4179	206	222	154	1655	1
3278	4	446	120	5203	211	242	170	1761	1
3080	16	228	52	3377	175	226	191	484	1
3293	11	175	-4	4177	199	223	163	1549	1
3270	14	499	112	5274	235	241	133	1651	1
3092	6	242	54	1772	211	229	156	2103	1
3391	25	242	116	3740	178	185	138	1806	1
3284	3	443	74	5055	211	241	167	947	1
3263	7	362	37	5653	204	244	179	1390	1
3314	9	30	5	4019	202	227	165	1524	1
3265	5	201	26	5520	230	234	138	920	1
3106	5	124	29	2017	206	237	170	1984	1
2945	5	30	0	659	228	233	140	1911	1
3246	12	342	33	5659	236	239	132	1271	1
3248	10	270	35	5819	229	244	146	1173	1
3246	10	270	33	5790	231	241	142	1179	1
3197	32	210	116	4056	179	157	97	902	1
3280	0	300	37	4927	219	238	157	713	1
3115	9	90	12	2218	199	228	169	1959	1
3243	9	335	20	6027	211	222	148	1050	1
3166	11	371	30	2791	215	216	137	1448	1
3160	17	242	86	4379	177	215	176	1148	1
3367	13	170	-13	4171	228	211	114	1168	1
3228	5	313	15	6187	220	229	146	932	1
2997	14	91	17	1148	215	211	130	2397	1
3211	4	42	2	5806	224	241	152	970	1
3216	7	213	20	5342	226	244	153	1209	1
3203	4	108	8	5393	211	243	170	1110	1
3155	4	108	-4	3650	215	233	157	1397	1
3028	4	192	16	1091	215	231	153	2514	1
3218	2	30	1	3099	219	234	152	1698	1
3323	26	170	84	5070	225	174	66	108	1
3239	6	218	-1	6169	226	227	135	495	1
3208	5	0	0	5696	226	230	139	765	1
3192	6	150	-25	2658	220	227	142	2312	1
3208	3	67	0	5206	224	234	145	750	1
3220	13	0	1	3596	187	246	197	1745	1
3219	5	85	6	5662	209	232	161	824	1
3209	0	0	0	5314	219	238	156	725	1
3203	6	60	-11	3690	204	241	176	1655	1
3127	18	295	3	1774	223	201	107	3104	1
3219	2	0	0	5796	221	234	150	696	1
3094	18	430	-24	1620	245	208	86	2948	1
3275	8	90	20	6047	232	239	138	272	1
3210	3	30	1	5126	220	232	149	480	1
3238	9	182	29	5380	210	221	149	525	1
3247	11	124	28	2644	234	220	117	2661	1
2747	17	108	7	1273	206	204	132	2080	0
3264	12	170	34	5628	192	225	172	698	1
3215	14	30	12	4875	230	245	144	458	1
3021	2	127	1	931	221	234	150	2363	1
3294	13	283	71	3949	190	223	172	1353	1
3298	6	171	43	5742	209	232	160	658	1
3274	10	85	7	6044	236	223	118	495	1
2742	12	150	53	1146	195	220	164	2044	0
2694	6	0	0	847	214	229	152	2077	0
3372	11	335	94	5205	216	215	133	552	1
3082	7	192	8	1529	223	225	138	2184	1
2737	27	450	184	940	218	169	69	1970	0
2861	23	153	45	1477	200	186	114	2683	0
2848	19	446	138	495	245	204	81	1567	1
3427	21	511	81	4986	159	219	198	616	1
3090	9	150	-4	1883	235	238	135	2145	1
3099	13	120	1	1978	241	231	117	2193	1
2967	9	700	177	1060	215	221	143	2506	0
2951	16	242	63	1566	198	208	146	2617	0
2862	21	210	60	1536	156	224	207	2644	0
3351	13	484	11	3365	187	243	196	1648	1
3008	10	458	183	2007	234	221	118	2975	0
2870	21	212	89	1608	215	189	103	1885	0
3329	9	480	48	3416	198	233	175	1552	1
3135	9	242	38	1967	221	221	134	1678	1
3325	9	371	57	3312	195	237	182	1657	1
3084	12	474	-97	1717	236	217	110	1390	1
2981	13	481	95	1731	235	240	133	1922	0
2984	5	457	52	1888	224	241	152	2493	0
2664	25	67	19	1678	152	201	183	1296	0
2837	21	518	278	1198	169	206	173	938	0
2911	19	450	154	1486	183	253	203	1611	0
2673	15	42	4	1514	194	212	154	1490	0
2941	15	331	55	1842	216	252	166	1818	0
2746	36	60	24	1301	223	227	103	1822	0
2837	9	362	39	811	221	221	135	342	1
2956	19	85	24	1507	247	223	98	2516	0
3040	10	674	213	1413	216	218	140	741	1
2930	22	424	103	1150	248	199	69	470	1
2898	10	30	0	940	209	222	150	2131	0
2950	13	42	8	1631	222	249	159	2207	0
2837	23	201	50	942	209	183	101	2101	0
2922	10	0	0	2167	192	236	183	1660	0
3129	20	480	-44	1282	217	192	101	1082	1
2814	23	268	65	1337	161	205	179	1290	0
2771	11	511	305	785	221	218	131	1249	0
2970	6	0	0	1104	206	232	164	2148	0
2719	14	0	0	1377	222	209	118	1557	0
3153	11	134	-4	1179	204	250	183	1443	1
2960	21	192	36	626	182	197	149	1820	0
2925	13	247	105	685	199	217	155	1830	0
2971	18	60	19	1465	170	222	192	2096	0
2894	16	0	0	573	191	211	156	1771	0
2680	13	127	20	1237	237	218	109	847	0
2812	29	190	82	1136	207	168	81	1654	0
2930	19	120	36	503	173	214	177	1687	0
2700	11	67	0	1739	189	239	190	655	0
2810	16	30	7	741	234	206	99	301	0
2932	18	201	1	2007	170	241	209	1301	0
2876	14	228	85	1561	197	252	191	1832	0
2868	19	319	66	700	213	196	112	631	0
2684	23	90	24	408	152	220	206	612	1
3285	23	875	-61	1256	247	226	96	2700	1
2843	26	242	63	2173	142	213	207	566	0
2842	27	85	27	2281	189	173	109	780	0
2962	18	192	47	604	195	203	143	1348	0
3281	26	180	60	2135	159	250	220	3156	1
2871	19	134	39	2215	203	197	126	779	0
2930	13	150	30	1811	184	238	194	1218	0
2827	12	427	72	1104	198	219	159	1090	0
3022	20	30	8	420	167	216	187	1087	0
3310	14	600	134	3413	207	252	179	2759	1
2828	11	417	73	1252	225	215	123	962	0
2887	15	285	32	992	178	239	202	1945	0
2876	23	285	121	750	243	193	68	1207	0
3209	32	330	80	2589	215	241	133	3188	1
3016	13	395	39	1288	182	232	190	1651	0
3003	17	127	38	277	182	211	166	1507	0
3003	20	109	23	446	160	236	215	1665	0
2879	9	362	123	2190	218	248	164	664	0
3230	13	190	29	3696	214	251	170	2862	1
2893	34	180	73	201	129	169	166	912	1
2983	8	379	27	1501	198	240	183	1357	0
3195	10	90	0	3630	224	247	155	3021	1
2939	11	300	127	1663	201	249	187	1223	0
2885	16	192	65	212	190	214	162	1448	1
2792	17	234	64	2419	191	208	152	602	0
3023	16	216	24	2081	226	247	149	3972	1
2849	24	85	37	1981	173	190	149	1082	0
2850	15	390	116	2546	197	212	151	781	0
2994	10	134	5	2007	224	246	154	3946	1
2906	20	60	11	765	171	207	174	2678	1
2972	31	379	118	384	157	166	135	1671	1
2885	18	95	30	1332	223	199	104	741	0
3102	21	30	2	2848	248	205	75	3861	1
2921	9	30	1	1289	218	221	138	488	0
2985	4	30	0	2060	226	236	145	3995	1
2905	3	30	0	1033	224	238	150	2940	1
2889	11	511	47	2695	218	215	132	990	0
2797	14	127	28	2352	182	226	183	1235	0
2967	13	60	1	1682	216	211	128	3594	1
3098	33	268	50	2468	173	153	98	4298	1
2943	22	351	143	360	248	226	95	1142	1
3195	21	732	-27	864	201	190	119	1866	1
2914	13	361	25	2429	222	212	121	1397	0
2825	14	127	22	2536	188	220	172	1126	0
2990	15	90	19	1800	242	216	100	3621	1
2850	18	212	45	2618	196	200	137	997	0
2962	9	306	47	2955	194	236	181	1557	0
2942	23	424	137	424	251	207	71	1418	1
2859	17	134	49	134	246	226	102	1120	1
2995	8	511	80	2744	199	231	172	1652	0
2999	6	524	113	2478	225	228	138	1690	0
2993	15	240	10	1679	177	239	202	3394	1
3206	32	67	43	1282	184	153	87	2696	1
2930	11	216	-4	1894	201	220	157	192	0
2865	20	60	20	2496	171	208	174	511	0
3286	24	124	62	1321	155	244	223	2512	1
2994	7	120	11	1829	202	236	173	3529	1
3273	11	450	49	1260	239	227	118	2282	1
3268	13	350	90	1566	196	218	160	2982	1
3036	23	424	-68	633	247	199	71	1664	1
