altitude	pente	distance_horizontale_hydro	distance_verticale_hydro	distance_horizontale_route	ombrage_0900	ombrage_1200	ombrage_1500	distance_horizontale_depart_feu	zone_A
2968	12	190	36	3113	207	215	144	1072	0
2888	12	90	17	2416	224	213	120	269	0
2986	11	277	73	2435	238	230	121	1802	0
3035	9	454	96	216	232	223	123	1860	0
2965	3	127	10	1383	214	233	158	360	0
3313	22	457	151	1681	252	215	80	2845	1
3090	14	212	38	342	226	247	149	646	0
3285	22	379	123	1624	252	212	76	2802	1
2945	2	30	5	1789	212	239	165	458	0
3127	13	242	56	240	242	225	111	864	0
3006	10	216	22	2961	204	249	182	601	0
3103	29	240	72	2797	128	215	220	2676	1
2999	17	1	1	674	244	210	89	1924	1
3062	9	0	0	418	235	228	124	663	0
3039	4	134	17	3059	223	240	153	1292	0
2855	12	201	27	967	205	216	148	2621	0
3174	16	532	103	437	244	229	109	807	0
3033	17	228	33	591	218	200	112	1756	1
2988	17	391	4	443	235	203	93	1575	1
2979	13	86	15	2708	185	243	197	741	0
3390	12	335	108	2192	239	221	110	2618	1
2988	5	511	48	1746	227	231	139	987	0
2758	14	566	59	210	213	208	129	888	0
3363	18	319	81	2157	231	201	97	2507	1
3235	10	268	-17	1664	237	229	122	2749	1
3113	30	108	32	1114	137	190	184	2143	1
2871	7	0	0	1110	230	241	144	1889	0
3071	4	60	0	3519	218	231	150	2259	1
3320	26	277	56	4054	233	238	121	2483	1
3084	10	120	16	3439	196	227	171	2170	1
3363	33	0	0	3046	112	208	227	2171	1
3018	14	134	23	1091	207	214	141	380	0
3016	6	212	44	2230	231	236	139	2442	0
3352	9	485	70	2201	236	233	128	2309	1
3123	16	127	4	900	244	214	94	572	0
2644	8	150	10	201	218	223	141	488	0
3177	14	85	-3	1601	219	208	122	2523	1
2788	14	85	14	1048	213	209	129	3139	0
2848	23	404	132	510	186	254	196	1933	0
3145	19	30	8	3769	171	217	183	1820	1
2868	25	150	66	150	252	199	59	984	1
3065	8	85	10	2910	204	247	181	1598	0
3069	7	124	13	2867	212	247	173	1657	0
3146	20	127	9	3869	162	224	200	1777	1
3077	5	277	39	2836	225	230	140	1434	0
3067	5	228	27	2947	219	230	147	1499	0
3247	15	150	31	1802	233	207	103	2340	1
3124	14	108	12	4170	213	210	129	1812	1
3203	21	85	-1	3773	164	216	189	1660	1
3093	11	750	39	2423	230	218	119	2228	0
3015	14	210	7	1707	201	213	149	1328	0
3157	19	42	4	4000	165	228	202	1608	1
3231	17	335	49	1383	174	230	196	2236	1
3231	19	0	0	1194	225	197	98	953	0
3157	9	85	6	4437	207	224	155	1797	1
3528	22	272	115	3077	152	231	216	1608	1
3050	23	0	0	598	241	191	69	1482	1
3170	14	30	7	4073	192	217	163	1501	1
3239	21	361	126	1130	234	192	81	2003	1
3067	13	210	66	2114	233	214	110	2832	0
3191	20	228	38	4476	173	208	172	1648	1
3094	3	342	18	2670	222	233	147	1797	0
3086	6	285	32	2448	204	233	168	2080	0
3091	8	420	90	2089	220	223	140	2704	0
2944	10	845	-75	1249	207	250	179	1771	0
3088	5	300	87	2037	215	229	150	2816	0
2712	19	60	18	1022	204	254	181	1833	0
2850	15	376	62	1142	230	207	106	1475	0
3432	18	582	217	2215	216	197	110	1852	1
3539	19	900	324	2520	225	195	96	1573	1
3448	16	595	214	2131	217	202	116	1824	1
3045	18	60	23	1862	232	201	95	3097	0
3108	21	532	2	2078	180	198	153	1398	0
2772	11	30	3	932	203	219	153	2103	0
2698	26	42	16	1261	190	253	185	1616	0
2860	11	255	-14	1445	205	218	149	2872	0
3095	6	306	18	2501	230	235	138	2012	0
3283	10	90	-5	3972	238	229	121	2166	1
3156	15	541	20	2135	224	206	113	1116	0
3202	7	67	1	4224	200	237	178	1572	1
3183	7	564	17	2145	218	224	142	1101	0
2979	15	150	40	2310	180	228	188	2309	0
3082	13	190	44	713	238	218	108	1602	1
2998	20	176	55	470	250	217	86	1339	1
3002	22	150	-25	510	251	215	81	1358	1
3208	21	391	67	2343	197	190	124	1332	0
2915	12	180	31	1679	212	214	138	2750	0
3413	36	234	108	4156	200	143	54	892	1
3034	15	120	21	2522	241	212	98	2023	0
3123	14	134	17	2476	240	235	122	1718	0
3395	21	600	110	1996	242	200	78	1708	1
3641	20	1072	356	2530	235	198	87	1253	1
2684	17	150	45	890	228	201	100	1172	0
3230	10	256	34	1312	236	225	119	1775	1
2983	17	228	30	2081	223	201	107	2923	0
3209	15	95	-1	2680	236	209	100	1638	0
3159	11	30	0	2701	218	215	132	1782	0
2741	20	300	104	966	229	197	94	942	0
3068	14	351	-51	2026	180	229	188	2292	0
3247	12	90	-19	1442	240	228	117	1773	1
2678	16	120	48	1087	242	210	94	1075	0
3094	16	150	32	2932	196	208	147	2291	0
2945	9	210	17	365	232	223	122	757	1
2770	10	120	4	2155	230	221	123	726	0
3371	13	212	116	3408	200	251	187	438	1
3597	22	830	378	2714	251	215	80	914	1
3464	15	648	179	2250	237	209	100	1368	1
2774	26	335	141	1026	247	187	52	780	0
2751	26	277	118	1084	247	187	52	836	0
3115	10	182	0	1959	202	249	184	2597	0
3186	22	201	34	3032	244	196	70	2073	0
3090	10	272	-29	2059	198	225	165	2023	0
3136	11	182	24	1761	227	246	151	2510	0
2910	6	582	272	819	229	230	137	537	0
3158	14	418	46	1500	180	241	200	2353	0
3002	22	630	368	1824	168	250	215	1723	0
3453	10	671	168	2268	237	231	124	1366	1
3278	20	300	0	1634	241	198	78	1712	1
2932	24	480	283	1767	159	248	221	1567	0
3047	18	481	-72	1974	171	246	211	1860	0
2543	17	60	3	1383	199	204	139	1426	0
3268	8	330	-9	1578	227	223	130	1648	1
2613	18	120	17	2239	192	202	144	1442	0
3118	8	95	1	1782	232	237	137	2435	0
2667	5	30	2	2460	223	229	142	716	0
3391	11	513	112	1894	225	216	123	1801	1
2923	9	242	46	295	235	228	125	335	1
3109	13	212	-7	2462	194	250	193	1879	0
3115	7	60	0	1868	228	241	147	2271	0
3055	23	210	13	706	251	203	67	730	1
2969	22	212	10	474	246	197	69	495	1
3124	12	0	0	2958	226	216	121	3164	0
2736	17	127	24	2613	243	211	92	459	0
3106	13	150	0	2868	219	211	126	3097	0
2665	2	86	-1	1915	215	236	159	1690	0
2989	20	309	22	564	247	206	79	511	1
3181	8	300	48	1064	207	247	177	1841	0
2998	19	874	129	2460	213	196	112	1290	0
3094	13	511	-22	2481	214	251	169	1559	0
3492	17	926	315	2530	239	238	124	1245	1
3110	9	323	55	2012	226	245	152	1825	0
3152	6	153	21	1075	228	240	145	1745	0
3158	24	741	65	2925	173	192	151	2614	0
3142	7	109	9	1142	218	246	164	1719	0
3072	8	319	45	2112	231	241	142	1591	0
3140	10	60	7	1075	232	241	140	1664	0
3066	11	324	51	2165	223	247	156	1528	0
3329	11	474	106	3251	223	217	127	2768	0
3262	15	162	39	3240	210	207	130	3158	0
3056	9	404	56	2363	219	247	163	1345	0
3291	9	300	68	3211	233	226	126	2975	0
2774	10	618	123	2701	212	219	144	1595	0
3238	15	335	47	2714	200	253	187	934	1
3263	19	297	43	3194	192	199	141	3290	0
3159	16	1170	290	2881	196	207	146	1806	0
3107	16	1263	238	2880	225	204	108	1405	0
3118	8	30	4	1136	202	232	170	1573	0
3419	11	631	26	3365	222	248	158	127	0
3234	14	134	36	1664	235	241	132	1577	1
3190	22	60	-3	1539	241	234	111	1436	1
3387	10	446	-4	3221	222	247	159	124	0
3196	4	212	19	2526	222	241	154	1044	1
3041	17	150	0	934	245	232	110	890	1
2767	35	212	71	1860	189	144	67	832	0
2804	34	210	95	2350	129	241	235	765	0
2999	14	335	49	2520	230	245	144	999	0
2786	6	433	56	2796	229	237	142	1907	0
3199	9	127	4	2603	226	245	152	947	1
3187	4	127	1	2470	223	241	154	1045	1
3217	9	459	42	518	196	241	184	1006	0
3376	7	1034	174	3042	214	247	169	1224	0
3254	5	60	4	2766	224	241	151	1101	1
3346	11	376	78	3477	209	251	177	301	0
2894	17	421	99	3102	197	205	142	1106	0
3147	15	256	26	2138	205	253	181	713	1
3263	4	300	29	242	210	236	164	830	0
2576	8	569	72	1233	226	223	132	1543	0
3010	17	1026	165	2941	173	244	209	1326	0
3156	7	541	78	1048	203	242	179	979	0
3275	16	30	7	3412	239	237	122	607	0
2825	11	459	95	2713	233	219	117	1922	0
3100	31	443	33	1771	232	231	104	1530	1
2768	12	108	47	2335	188	230	182	247	0
3143	8	60	5	1917	227	224	131	443	1
2949	8	793	94	2837	213	248	172	1655	0
3231	8	277	31	3144	226	244	151	323	0
2953	17	981	167	2542	227	247	147	1392	0
3178	7	42	0	1812	219	224	142	532	1
3063	12	242	26	1661	232	242	140	938	1
3275	11	579	91	720	191	229	177	604	0
3238	12	750	121	2101	239	220	110	2613	0
3239	10	391	57	824	192	237	185	350	0
2938	31	324	18	2881	134	186	182	376	0
3219	8	306	46	892	207	248	178	212	0
3222	11	342	29	2296	225	247	154	1617	0
2951	21	684	285	2431	248	225	95	1786	0
3225	7	488	70	2100	211	247	172	1915	0
3269	8	969	153	1952	226	226	134	2510	0
3166	5	90	8	1142	209	245	173	365	0
3305	9	420	85	1087	224	246	154	1110	0
3146	6	90	20	1466	207	231	163	592	0
3298	15	390	92	1705	226	247	150	1653	0
3352	7	300	152	2868	232	237	137	531	0
3275	2	953	165	1806	214	236	160	2527	0
2843	35	268	102	2580	106	219	241	474	0
3298	9	242	2	1276	211	249	174	1296	0
3267	5	848	157	1756	205	238	172	2480	0
3139	17	242	67	1154	207	202	127	618	1
3312	23	379	145	2301	202	253	176	1115	0
3350	13	534	150	2666	224	248	153	774	0
3243	13	182	41	1170	213	251	171	569	0
3147	10	0	0	3308	229	218	121	700	0
3280	8	362	66	1266	215	224	146	469	1
3274	6	180	35	1310	210	246	173	1130	0
3361	12	430	96	1033	194	221	165	2748	0
3258	21	242	69	2080	220	249	151	1387	0
3174	7	241	21	1476	200	238	178	190	0
3218	22	408	137	2343	165	248	218	1652	0
3308	14	212	18	1296	202	212	146	828	1
3237	15	108	17	1744	242	216	100	1967	0
3153	16	124	22	1698	186	251	201	2167	0
3181	13	201	34	1911	242	228	113	1956	0
3001	11	361	90	3018	191	241	190	854	0
3389	9	600	82	1332	235	236	132	2761	0
3213	19	67	3	1987	211	196	115	1784	0
3164	19	60	14	2460	209	253	172	1302	0
3133	12	306	52	1377	232	218	118	3271	0
2849	11	201	30	1746	211	217	143	2696	0
3051	5	551	96	2904	211	243	170	1149	0
3068	11	642	91	2755	202	250	185	1104	0
3161	25	124	30	2658	218	247	147	1167	0
3151	17	182	41	1523	186	252	201	2340	0
3168	22	450	114	3421	218	249	152	942	0
3334	32	91	32	1517	225	234	116	1302	1
3374	14	365	63	1541	190	219	168	2068	0
2806	14	201	29	1574	214	208	127	2602	0
3301	5	60	0	1405	229	235	140	1358	1
2887	31	242	123	1749	250	177	31	1592	0
3402	8	484	81	1660	201	229	168	2112	0
3196	17	569	59	2134	177	218	179	721	0
3064	12	0	0	1464	197	249	190	2414	0
3101	12	95	7	3006	224	214	123	1315	0
2716	5	30	-3	1323	223	243	156	2544	0
3044	11	120	-4	3523	227	246	150	1206	0
3031	11	42	1	1513	221	249	159	2405	0
2903	16	558	128	1376	206	205	133	2692	0
3096	11	85	11	3206	222	217	129	1328	0
3034	18	90	10	3305	207	253	175	1299	0
3122	16	466	47	1158	240	236	120	2704	0
2747	17	85	22	1248	217	201	114	2551	0
2816	12	277	81	1273	230	214	115	2728	0
2963	27	182	66	1556	227	240	126	1952	0
3050	22	108	30	3058	214	250	159	1405	0
2934	15	61	-13	2353	233	243	136	1794	0
3341	12	277	52	2176	209	216	143	1591	0
3037	27	443	255	2596	146	195	183	1507	0
3110	25	162	57	3597	177	183	137	1473	0
3068	28	120	30	3430	219	168	67	1478	0
2870	14	542	99	1081	244	222	104	2672	0
3338	18	175	29	2202	233	200	92	1849	0
3052	15	124	23	3188	178	239	200	875	0
3031	35	402	234	2684	201	239	142	1648	0
3272	16	297	74	1200	208	205	129	1693	1
3089	15	277	53	3169	189	251	198	630	0
3297	8	420	22	2552	198	241	183	721	0
3047	8	457	102	2794	199	242	182	1652	0
2981	7	42	2	2673	226	226	134	1900	0
3032	8	67	6	2948	234	233	131	1027	0
3043	11	342	22	2841	210	217	143	1328	0
3246	10	402	-15	2806	200	248	185	323	0
3205	21	495	151	3679	220	189	95	1806	0
2947	1	228	22	1782	221	236	151	1398	0
3444	11	569	49	2616	240	232	123	1645	0
3282	15	153	7	2837	180	228	187	601	0
3040	16	467	71	2193	218	204	118	2363	0
3107	14	256	70	2607	240	215	102	1154	0
3062	16	30	11	2714	177	245	206	771	0
3370	16	330	78	2848	176	243	205	1154	0
3262	4	85	7	932	225	240	150	2052	1
3238	16	31	-7	3132	180	246	205	474	0
3030	22	366	137	2240	251	211	76	1546	0
2804	26	30	2	2162	253	198	55	1513	0
3200	43	361	155	3692	229	201	55	2287	0
3351	14	366	59	3059	236	240	132	1177	0
3112	25	319	106	2584	157	195	173	2457	0
3282	12	190	34	3202	194	248	192	757	0
2989	21	247	96	2084	245	201	75	1566	0
3029	15	134	8	2948	177	234	196	2431	0
3149	16	474	144	2439	187	213	163	2564	0
3097	22	180	60	2368	202	186	112	949	0
3006	17	331	147	1282	206	202	129	3392	0
2998	25	240	139	849	169	190	153	3329	0
3236	13	362	34	3037	225	247	153	937	0
3223	13	391	67	2843	194	250	193	832	0
3248	5	0	0	3449	217	244	164	1498	0
3052	19	30	12	3260	172	214	180	2746	0
3213	12	242	28	2981	234	241	137	1050	0
3107	12	286	0	390	235	240	135	1879	1
3118	29	182	81	3124	139	190	183	2826	0
3087	14	685	-2	1794	202	211	145	3267	0
3070	22	418	211	886	174	199	160	3203	0
3193	1	324	30	2652	216	237	159	931	0
3339	11	457	30	1082	239	228	119	2724	1
3181	12	342	58	2442	221	249	159	930	0
3070	13	391	44	395	240	235	123	1747	1
3252	5	201	32	3267	205	240	174	1592	0
3161	28	180	4	3989	244	224	89	3025	0
3244	4	537	209	2885	226	234	143	3083	0
3131	5	120	-7	742	229	233	140	2123	1
3083	4	564	66	1614	208	236	167	819	0
2979	12	0	0	1430	198	220	161	1442	0
3227	24	108	21	4135	231	241	127	3152	0
3177	30	150	20	4084	249	213	68	3068	0
2984	26	350	171	1530	149	243	227	366	0
3114	14	67	16	3668	184	227	181	3120	0
3074	8	90	5	1242	234	237	135	3297	0
3097	5	366	52	1772	210	244	173	671	0
3014	9	404	51	426	232	224	125	1426	1
3171	8	285	55	1956	235	231	129	3319	0
3245	10	679	84	2687	217	217	135	3384	0
3098	11	95	7	1581	238	232	123	3242	0
3080	15	268	35	1734	231	244	141	564	0
3252	9	666	88	2726	215	220	142	3405	0
3026	10	67	12	1215	195	228	172	1477	0
3107	10	95	4	1041	234	240	137	1677	1
3133	10	108	11	2017	233	240	137	3137	0
3025	10	403	60	454	237	227	120	1265	1
3150	8	459	108	1301	212	223	148	1082	0
3070	19	201	29	1224	249	220	92	1290	0
3081	15	210	40	1126	229	206	106	1360	0
3111	11	395	98	849	217	216	133	1270	0
3295	6	60	3	4481	215	228	149	3785	0
3308	5	0	0	4420	223	243	155	3883	0
3168	9	480	127	1101	197	231	174	1218	0
3104	16	351	87	1492	212	204	124	2856	0
3041	8	0	0	924	200	243	182	1579	0
3237	5	295	66	2616	206	241	173	1022	0
3247	15	30	-7	4670	244	221	103	3850	0
3065	12	108	6	1698	222	248	158	180	0
2995	17	108	-8	1374	189	252	199	175	0
3059	9	0	1	1705	200	246	184	256	0
3238	19	67	14	2958	243	233	112	2938	0
3203	11	218	-22	1560	228	218	122	2402	1
3239	8	42	4	3066	235	234	131	2928	0
3212	16	524	80	2188	208	205	130	2505	0
3113	5	1	0	993	229	235	140	1802	1
2926	14	67	-2	1023	203	253	184	537	0
3268	18	350	50	3180	176	249	209	1176	0
3087	14	466	28	390	228	246	147	1288	0
2903	16	30	1	934	192	253	195	631	0
3069	17	402	10	342	216	251	164	1396	0
3119	13	306	37	1867	184	242	198	765	0
3264	15	573	114	2377	210	208	131	2407	0
3197	12	812	180	1907	206	215	145	2379	0
3111	13	404	52	630	239	224	113	1396	0
3096	7	30	-1	1155	228	226	131	2138	1
3103	14	0	0	1839	203	253	183	511	0
3117	7	67	-6	2379	212	247	172	361	0
3046	14	469	211	1124	207	211	139	601	0
3213	12	170	27	4138	189	245	196	2200	0
2980	19	121	35	1695	211	252	168	404	0
3126	11	68	-13	2639	188	237	189	752	0
3184	14	513	41	455	222	209	118	1604	1
2868	20	68	21	577	226	192	91	153	0
2981	8	0	0	2048	200	245	184	524	0
3259	11	492	99	1120	213	216	139	2279	1
3171	12	175	32	3570	188	231	183	1777	0
3221	14	384	76	3840	183	224	181	2061	0
3292	17	213	71	1745	177	216	178	2932	1
3167	29	531	167	730	237	230	101	1476	0
3293	14	474	105	1113	236	240	132	2501	1
3123	16	283	25	3148	173	238	205	1635	0
3031	16	270	5	595	173	236	202	841	0
3191	15	420	52	547	245	220	100	2047	1
3106	10	268	53	2960	192	235	183	1579	0
3048	21	270	13	2795	181	253	204	1523	0
3126	10	417	59	3148	197	245	187	1742	0
3000	13	350	102	2394	190	248	197	1376	0
3038	37	350	56	270	128	157	151	1120	0
3115	22	474	133	371	195	188	122	1179	0
2854	31	210	84	601	123	200	207	1075	0
3016	11	86	-12	927	240	229	119	1200	0
3018	30	474	184	646	248	175	33	1061	0
3014	14	85	6	671	243	221	103	1455	0
2981	24	417	147	698	246	190	59	1064	0
3080	21	890	-34	1050	178	200	157	1528	0
3086	21	190	57	947	200	192	123	1342	0
2997	19	67	27	1518	162	231	207	1343	0
2997	23	170	-1	1615	200	183	110	1396	0
3058	20	212	55	418	163	216	191	1867	0
2998	14	335	-41	1832	186	222	175	1548	0
3135	22	360	80	469	250	203	69	1434	0
2857	29	127	33	953	250	213	69	1173	0
2993	11	86	2	1101	216	216	134	1471	0
3031	17	134	22	1308	192	206	149	1355	0
3052	20	42	11	1138	248	210	81	1471	0
3148	19	297	71	1140	247	210	85	1579	0
3024	7	213	7	1187	218	226	144	1672	0
2879	14	60	17	446	226	208	112	1890	0
2852	26	283	121	973	188	179	116	1136	0
2835	9	61	9	1138	202	227	163	1410	0
3039	25	379	118	2994	163	250	218	2241	0
3076	19	30	-1	726	247	226	99	1731	0
3037	11	213	6	1265	215	217	137	1724	0
2859	18	306	111	1200	206	199	126	1200	0
3106	11	0	0	731	230	218	120	1842	0
3046	28	391	141	2435	229	170	55	2072	0
2862	22	120	18	1273	154	229	213	1323	0
3202	7	212	26	1383	224	225	135	1064	0
2922	17	0	0	677	189	208	156	2040	0
2996	30	351	166	1355	123	221	231	1114	0
2856	14	67	19	1482	184	225	180	1294	0
2889	11	457	137	1379	230	218	121	1531	0
3195	22	270	67	1613	209	186	104	1998	0
3217	22	1061	413	1575	171	202	168	874	0
3238	10	297	-7	1655	236	223	118	1134	0
3094	23	218	51	1158	236	189	73	2268	0
3127	15	277	14	1237	230	207	105	2271	0
3261	12	780	58	1802	212	215	139	876	0
2922	15	589	166	1445	233	207	102	1717	0
3249	25	330	121	1524	252	195	57	2170	0
2912	13	540	155	1507	228	211	114	1742	0
3160	15	150	25	150	175	236	200	2650	0
3279	15	511	76	2041	200	209	144	973	0
3194	15	277	59	300	179	239	200	2603	0
2902	23	85	28	2635	189	254	192	2248	0
3151	25	408	229	1956	217	178	83	2783	0
2931	21	540	162	1752	239	195	77	2010	0
3233	13	190	51	1385	241	223	109	2520	0
3019	20	870	254	1650	216	192	102	2132	0
3099	18	871	39	1651	223	199	104	2227	0
3281	14	319	67	1124	212	208	130	2644	0
3247	23	256	87	1604	222	183	84	2638	0
2880	19	228	90	2148	229	197	94	2268	0
2945	10	216	85	2850	192	241	188	2155	0
3003	17	67	11	2960	177	220	182	1860	0
3111	20	752	-74	1794	213	191	106	2102	0
3256	13	342	49	1301	187	228	182	2624	0
3149	14	134	10	2480	185	222	177	474	0
3200	18	767	110	420	186	253	201	2840	0
3261	24	162	54	1914	217	181	87	2240	0
3167	21	607	231	1337	242	196	74	2448	0
3202	6	182	-3	824	218	245	163	2296	0
3031	18	361	6	2367	236	202	90	1805	0
3331	20	182	38	2223	161	238	217	2427	0
3016	24	228	115	2563	242	231	104	1749	0
3211	17	600	-6	849	237	240	128	2140	0
3211	8	693	169	3346	204	246	180	1130	0
3098	27	595	162	1276	253	198	53	2218	0
3036	18	499	97	1422	244	208	88	2268	0
2942	13	319	34	3163	186	225	178	2058	0
3183	18	646	59	3436	183	252	204	1187	0
2998	7	443	65	1627	214	225	147	2363	0
3160	12	785	-60	764	221	249	159	1973	0
3149	11	677	109	774	223	247	156	1900	0
3155	12	450	76	228	224	247	154	1889	0
3147	10	395	69	216	226	245	151	1802	0
3017	5	417	50	1337	216	231	152	2040	0
3098	16	175	-2	3857	175	226	191	1666	0
2996	17	258	26	1406	245	229	107	2076	0
3266	15	878	48	3396	178	234	196	1062	0
3166	15	330	48	2823	221	206	117	1001	0
2956	8	30	6	3088	227	223	131	1158	0
3167	19	242	43	3936	168	222	193	1626	0
3126	12	30	2	4009	193	223	169	1825	0
3314	17	750	44	3415	172	226	193	1092	0
3234	13	589	116	3024	208	211	138	808	0
3323	20	589	105	3776	171	209	175	1445	0
3043	15	85	13	553	200	210	146	1262	0
3010	8	60	12	914	219	222	139	1507	0
3036	5	216	32	626	218	228	147	1214	0
3094	19	170	3	3826	175	210	172	920	0
3306	18	384	83	4349	175	219	183	2024	0
3314	15	408	91	4370	179	226	187	2047	0
3238	18	67	11	4378	182	208	163	1381	0
3287	24	743	17	4031	228	242	133	1550	0
3128	10	42	6	3944	199	224	163	175	0
3194	29	234	32	3917	254	195	47	541	0
3203	21	283	6	4098	158	228	209	430	0
3192	18	170	18	4061	246	229	104	659	0
3203	14	212	22	4141	243	227	110	886	0
3217	12	191	33	4319	191	235	185	510	0
3284	16	376	43	4696	182	216	172	900	0
3155	24	170	64	3610	226	244	136	703	0
3161	27	481	70	3800	177	253	200	1026	0
2812	7	531	46	4169	221	246	159	1708	0
3012	30	95	6	3182	168	252	205	960	0
2866	29	43	27	2939	190	251	178	1347	0
2612	18	150	20	2925	195	254	191	2059	0
2639	29	350	155	1041	204	247	158	942	0
2648	14	202	6	3319	210	210	134	2938	0
2692	17	297	28	3320	205	202	129	3005	0
2622	14	170	18	1650	219	208	120	2034	0
2644	16	0	0	1604	202	205	137	1984	0
2923	19	153	51	3466	211	252	168	2232	0
2913	3	242	60	3194	214	242	166	1952	0
2922	18	300	69	3095	191	204	149	1825	0
2898	22	134	45	3245	163	248	219	1829	0
2829	26	60	24	2457	220	245	142	1115	0
2804	12	170	64	2447	187	240	192	792	0
2577	21	0	0	1682	178	252	207	785	0
2571	20	162	44	2493	201	192	122	637	0
